station_id,decade,count_days_frost,count_days_hot,count_days_ice,count_days_summer,count_days_tropical_night,cloud_cover_total,precipitation_height,sunshine_duration,temperature_air_max_2m,temperature_air_max_2m_mean,temperature_air_mean_2m,temperature_air_min_2m,temperature_air_min_2m_mean,wind_force_beaufort
00661,1880,,,,,,,,,,12.39,8.212222222222222,,,
00661,1890,79.88888888888889,4.666666666666667,23.88888888888889,30.666666666666668,0.0,0.6373555555555556,683.3111111111111,,32.53333333333333,12.699,8.604000000000001,-15.711111111111112,4.828888888888889,3.25
00661,1900,77.8,4.4,20.1,27.3,0.1,0.63726,689.9300000000001,,32.410000000000004,12.68,8.719,-14.49,5.0329999999999995,3.66
00661,1910,68.5,5.7,16.0,30.6,0.1,0.63225,662.83,,32.089999999999996,13.112,9.186,-12.290000000000001,5.373,3.4549999999999996
00661,1920,70.0,5.375,22.375,30.5,0.375,0.6328,657.1555555555556,,33.0125,13.0775,8.98,-15.075,5.20875,2.80875
00661,1930,67.88888888888889,4.777777777777778,14.666666666666666,35.666666666666664,0.4444444444444444,0.62939,635.04,6101948.571428572,31.84444444444445,13.473333333333334,9.35625,-12.444444444444445,5.588888888888889,2.312222222222222
00661,1940,77.5,8.3,27.4,35.2,0.6,0.6371100000000001,643.35,6052011.428571428,32.72,13.188999999999998,9.095,-15.34,5.221,2.147
00661,1950,61.5,4.25,11.5,32.0,0.5,0.682525,673.7333333333333,5502690.0,32.675,13.5075,9.625,-11.975,6.0875,1.9025
00662,1940,,,,,,,577.0,,,13.86,8.793333333333333,,,
00662,1950,,,,,,,654.1,,,12.764,,,,
00662,1960,81.55555555555556,3.5555555555555554,31.444444444444443,22.666666666666668,0.1111111111111111,0.6761111111111111,663.1,5290200.0,31.266666666666666,12.41,8.497777777777777,-16.77777777777778,4.823333333333333,2.586666666666667
00662,1970,70.5,3.7,17.3,25.8,0.0,0.6915,564.6,5432724.0,31.51,12.657,8.887,-13.37,5.142,2.58
00662,1980,74.2,3.0,23.4,25.5,0.1,0.67889,635.0699999999999,5527764.0,31.45,12.661,8.964,-15.069999999999999,5.297,2.491
00662,1990,64.3,7.0,19.2,33.6,0.5,0.69137,615.97,6013548.0,33.269999999999996,13.328,9.507,-12.91,5.772,2.467
00662,2000,61.9,7.1,14.6,36.2,0.2,0.6668,650.27,6030396.0,34.010000000000005,13.987,10.059999999999999,-11.309999999999999,6.146,2.493
00662,2010,64.2,9.6,16.8,40.9,0.4,0.6816833333333333,588.0333333333333,6166656.0,34.519999999999996,14.24,10.172999999999998,-12.5,6.0280000000000005,2.55
00662,2020,50.333333333333336,9.166666666666666,5.833333333333333,46.333333333333336,0.6666666666666666,0.67685,597.0,6749640.0,35.0,15.221666666666666,11.020000000000001,-9.799999999999999,6.678333333333334,2.436666666666667
